Country,Period,Total Exports Value ($US),Customs Import Value (Gen) ($US)
Estonia,Feb-22,"38,390,738","103,910,301"
Estonia,Mar-22,"30,637,043","148,497,039"
Estonia,Apr-22,"31,996,553","115,434,227"
Estonia,May-22,"29,828,450","109,463,152"
Estonia,Jun-22,"27,364,224","140,820,173"
Estonia,Jul-22,"26,648,028","141,328,592"
Estonia,Aug-22,"32,737,455","105,281,201"
Estonia,Sep-22,"50,592,337","135,280,519"
Estonia,Oct-22,"39,303,296","119,208,485"
Estonia,Nov-22,"50,187,711","74,921,654"
Estonia,Dec-22,"22,004,226","57,467,231"
Estonia,Jan-23,"48,939,141","60,392,734"
Estonia,Feb-23,"26,418,775","65,366,157"
Estonia,Mar-23,"46,038,372","84,342,589"
Estonia,Apr-23,"35,756,106","68,651,420"
Estonia,May-23,"35,976,733","57,330,664"
Estonia,Jun-23,"30,595,842","63,525,015"
Estonia,Jul-23,"39,795,177","56,662,243"
Estonia,Aug-23,"20,937,726","61,797,356"
Estonia,Sep-23,"24,575,948","74,116,138"
Estonia,Oct-23,"16,669,780","49,083,298"
Estonia,Nov-23,"23,148,953","76,266,700"
Estonia,Dec-23,"20,515,363","56,830,044"
Eswatini,Jan-15,"1,521,040","409,968"
Eswatini,Feb-15,"2,053,373","181,942"
Eswatini,Mar-15,"1,935,674","330,295"
Eswatini,Apr-15,"2,117,152","2,100,387"
Eswatini,May-15,"1,498,654","328,584"
Eswatini,Jun-15,"3,081,256","399,343"
Eswatini,Jul-15,"1,244,647","659,021"
Eswatini,Aug-15,"1,790,161","835,407"
Eswatini,Sep-15,"2,811,930","6,825,548"
Eswatini,Oct-15,"1,794,625","488,245"
Eswatini,Nov-15,"6,909,089","877,052"
Eswatini,Dec-15,"1,764,150","8,063,027"
Eswatini,Jan-16,"1,996,019","339,088"
Eswatini,Feb-16,"1,649,952","446,372"
Eswatini,Mar-16,"2,195,857","421,402"
Eswatini,Apr-16,"1,970,168","353,479"
Eswatini,May-16,"1,975,579","452,781"
Eswatini,Jun-16,"1,832,896","558,276"
Eswatini,Jul-16,"3,018,329","241,594"
Eswatini,Aug-16,"1,717,659","546,466"
Eswatini,Sep-16,"2,003,846","2,521,292"
Eswatini,Oct-16,"1,935,703","9,697,944"
Eswatini,Nov-16,"3,479,896","880,186"
Eswatini,Dec-16,"1,835,000","534,545"
Eswatini,Jan-17,"2,118,998","246,245"
Eswatini,Feb-17,"1,284,097","322,235"
Eswatini,Mar-17,"2,294,283","534,465"
Eswatini,Apr-17,"2,323,121","316,936"
Eswatini,May-17,"2,096,679","1,165,702"
Eswatini,Jun-17,"1,392,988","543,368"
Eswatini,Jul-17,"1,950,064","271,410"
Eswatini,Aug-17,"2,066,853","1,323,763"
Eswatini,Sep-17,"1,934,599","268,865"
Eswatini,Oct-17,"2,538,600","13,867,285"
Eswatini,Nov-17,"2,307,923","387,999"
Eswatini,Dec-17,"1,765,230","1,212,187"
Eswatini,Jan-18,"7,527,692","165,524"
Eswatini,Feb-18,"2,808,445","625,911"
Eswatini,Mar-18,"5,737,663","539,876"
Eswatini,Apr-18,"2,363,680","178,839"
Eswatini,May-18,"2,231,300","345,817"
Eswatini,Jun-18,"2,185,689","1,405,115"
Eswatini,Jul-18,"2,019,869","579,996"
Eswatini,Aug-18,"1,781,590","454,535"
Eswatini,Sep-18,"1,212,306","896,036"
Eswatini,Oct-18,"872,668","4,221,482"
Eswatini,Nov-18,"2,191,658","3,194,805"
Eswatini,Dec-18,"2,495,652","711,606"
Eswatini,Jan-19,"1,094,078","85,504"
Eswatini,Feb-19,"1,533,196","390,215"
Eswatini,Mar-19,"2,317,244","333,139"
Eswatini,Apr-19,"1,042,266","189,249"
Eswatini,May-19,"1,901,580","153,725"
Eswatini,Jun-19,"2,639,534","122,546"
Eswatini,Jul-19,"1,699,432","725,623"
Eswatini,Aug-19,"1,671,125","812,105"
Eswatini,Sep-19,"1,716,529","275,738"
Eswatini,Oct-19,"2,164,172","2,923,997"
Eswatini,Nov-19,"982,225","9,040,148"
Eswatini,Dec-19,"936,824","819,420"
Eswatini,Jan-20,"1,450,331","326,513"
Eswatini,Feb-20,"1,989,561","671,994"
Eswatini,Mar-20,"1,493,834","483,629"
Eswatini,Apr-20,"1,999,591","233,330"
Eswatini,May-20,"1,995,217","53,717"
Eswatini,Jun-20,"435,596","167,014"
Eswatini,Jul-20,"834,919","164,702"
Eswatini,Aug-20,"1,614,539","729,140"
Eswatini,Sep-20,"2,398,521","5,539,702"
Eswatini,Oct-20,"2,446,678","10,059,479"
Eswatini,Nov-20,"2,441,014","831,813"
Eswatini,Dec-20,"2,135,536","254,994"
Eswatini,Jan-21,"1,335,863","507,299"
Eswatini,Feb-21,"5,891,427","315,505"
Eswatini,Mar-21,"1,525,929","464,098"
Eswatini,Apr-21,"5,010,223","728,762"
Eswatini,May-21,"3,800,829","1,014,933"
Eswatini,Jun-21,"2,207,471","1,016,753"
Eswatini,Jul-21,"2,086,532","667,299"
Eswatini,Aug-21,"1,852,961","649,177"
Eswatini,Sep-21,"779,321","1,742,845"
Eswatini,Oct-21,"2,441,625","13,284,347"
Eswatini,Nov-21,"7,200,299","2,202,861"
Eswatini,Dec-21,"2,366,121","897,021"
Eswatini,Jan-22,"1,216,460","429,916"
Eswatini,Feb-22,"2,215,016","787,806"
Eswatini,Mar-22,"2,121,795","916,001"
Eswatini,Apr-22,"40,148,928","441,276"
Eswatini,May-22,"1,483,580","9,203,755"
Eswatini,Jun-22,"2,611,400","581,538"
Eswatini,Jul-22,"4,156,796","856,871"
Eswatini,Aug-22,"5,281,923","301,716"
Eswatini,Sep-22,"4,780,502","1,410,166"
Eswatini,Oct-22,"3,933,059","5,053,479"
Eswatini,Nov-22,"2,114,991","1,624,511"
Eswatini,Dec-22,"2,443,416","828,002"
Eswatini,Jan-23,"2,790,952","259,549"
Eswatini,Feb-23,"2,056,589","532,219"
Eswatini,Mar-23,"3,806,046","201,633"
Eswatini,Apr-23,"2,354,182","578,820"
Eswatini,May-23,"2,275,016","1,397,096"
Eswatini,Jun-23,"3,070,722","473,390"
Eswatini,Jul-23,"3,846,353","143,121"
Eswatini,Aug-23,"3,383,374","533,088"
Eswatini,Sep-23,"3,051,165","525,482"
Eswatini,Oct-23,"4,085,487","25,882,720"
Eswatini,Nov-23,"3,551,486","179,995"
Eswatini,Dec-23,"3,238,458","571,468"
Ethiopia,Jan-15,"145,276,772","10,259,619"
Ethiopia,Feb-15,"22,118,938","9,362,926"
Ethiopia,Mar-15,"40,240,516","9,975,649"
Ethiopia,Apr-15,"138,879,652","54,281,133"
Ethiopia,May-15,"382,505,659","21,989,229"
Ethiopia,Jun-15,"232,062,859","62,188,416"
Ethiopia,Jul-15,"62,958,290","30,084,064"
Ethiopia,Aug-15,"34,670,751","34,539,631"
Ethiopia,Sep-15,"191,579,965","27,052,942"
Ethiopia,Oct-15,"203,677,527","20,201,893"
Ethiopia,Nov-15,"26,916,111","18,223,157"
Ethiopia,Dec-15,"74,362,336","12,110,418"
Ethiopia,Jan-16,"44,817,512","13,994,782"
Ethiopia,Feb-16,"18,878,266","14,330,647"
Ethiopia,Mar-16,"41,558,373","17,201,151"
Ethiopia,Apr-16,"55,089,594","19,177,479"
Ethiopia,May-16,"77,599,932","25,533,455"
Ethiopia,Jun-16,"121,041,990","24,958,667"
Ethiopia,Jul-16,"106,973,810","25,398,156"
Ethiopia,Aug-16,"22,263,506","30,089,064"
Ethiopia,Sep-16,"152,459,923","23,430,889"
Ethiopia,Oct-16,"47,317,355","13,070,091"
Ethiopia,Nov-16,"46,786,848","14,274,693"
Ethiopia,Dec-16,"91,308,168","14,769,948"
Ethiopia,Jan-17,"15,201,897","12,515,414"
Ethiopia,Feb-17,"13,303,880","18,623,256"
Ethiopia,Mar-17,"125,147,309","17,676,072"
Ethiopia,Apr-17,"23,341,522","18,204,572"
Ethiopia,May-17,"94,790,953","31,382,674"
Ethiopia,Jun-17,"150,474,110","27,575,518"
Ethiopia,Jul-17,"20,828,544","34,684,987"
Ethiopia,Aug-17,"20,386,665","37,154,780"
Ethiopia,Sep-17,"18,575,456","29,669,528"
Ethiopia,Oct-17,"159,867,594","24,410,230"
Ethiopia,Nov-17,"201,116,250","19,878,690"
Ethiopia,Dec-17,"34,119,941","19,680,893"
Ethiopia,Jan-18,"12,254,082","17,779,963"
Ethiopia,Feb-18,"13,552,655","24,822,106"
Ethiopia,Mar-18,"40,831,801","30,011,079"
Ethiopia,Apr-18,"62,488,809","36,795,840"
Ethiopia,May-18,"18,925,466","50,835,146"
Ethiopia,Jun-18,"158,602,285","45,853,040"
Ethiopia,Jul-18,"59,211,447","42,555,177"
Ethiopia,Aug-18,"364,674,460","48,930,322"
Ethiopia,Sep-18,"65,490,289","35,276,623"
Ethiopia,Oct-18,"40,783,366","47,468,753"
Ethiopia,Nov-18,"226,935,903","31,503,232"
Ethiopia,Dec-18,"244,451,353","32,952,664"
Ethiopia,Jan-19,"35,072,793","42,307,541"
Ethiopia,Feb-19,"73,659,500","27,036,798"
Ethiopia,Mar-19,"44,675,178","42,377,055"
Ethiopia,Apr-19,"19,057,169","44,285,107"
Ethiopia,May-19,"23,564,643","60,659,040"
Ethiopia,Jun-19,"195,305,976","48,280,074"
Ethiopia,Jul-19,"23,054,760","55,192,289"
Ethiopia,Aug-19,"46,500,739","63,349,864"
Ethiopia,Sep-19,"83,551,011","45,514,156"
Ethiopia,Oct-19,"41,400,698","51,289,968"
Ethiopia,Nov-19,"212,484,320","41,860,599"
Ethiopia,Dec-19,"212,543,443","49,385,807"
Ethiopia,Jan-20,"69,456,764","38,118,646"
Ethiopia,Feb-20,"17,387,723","42,368,913"
Ethiopia,Mar-20,"172,236,152","38,203,114"
Ethiopia,Apr-20,"36,000,796","32,891,054"
Ethiopia,May-20,"26,584,654","40,458,468"
Ethiopia,Jun-20,"22,108,382","49,857,730"
Ethiopia,Jul-20,"46,286,159","56,946,738"
Ethiopia,Aug-20,"47,353,433","43,296,537"
Ethiopia,Sep-20,"27,394,574","48,578,961"
Ethiopia,Oct-20,"281,758,693","57,382,735"
Ethiopia,Nov-20,"51,071,623","43,426,588"
Ethiopia,Dec-20,"113,302,338","32,949,653"
Ethiopia,Jan-21,"44,727,925","41,194,437"
Ethiopia,Feb-21,"21,453,278","24,955,281"
Ethiopia,Mar-21,"56,006,085","40,496,600"
Ethiopia,Apr-21,"30,837,367","25,160,146"
Ethiopia,May-21,"44,158,759","59,588,866"
Ethiopia,Jun-21,"41,719,082","51,529,145"
Ethiopia,Jul-21,"63,320,209","67,064,018"
Ethiopia,Aug-21,"42,551,891","79,131,023"
Ethiopia,Sep-21,"33,662,922","61,370,158"
Ethiopia,Oct-21,"41,817,119","55,863,823"
Ethiopia,Nov-21,"67,793,784","47,320,509"
Ethiopia,Dec-21,"87,431,055","47,342,814"
Ethiopia,Jan-22,"63,255,362","72,942,070"
Ethiopia,Feb-22,"65,279,835","41,491,515"
Ethiopia,Mar-22,"26,704,100","53,948,903"
Ethiopia,Apr-22,"68,119,607","47,839,005"
Ethiopia,May-22,"46,279,572","79,848,326"
Ethiopia,Jun-22,"133,191,041","70,575,162"
Ethiopia,Jul-22,"140,146,885","73,725,793"
Ethiopia,Aug-22,"25,120,060","74,108,955"
Ethiopia,Sep-22,"113,881,278","62,911,295"
Ethiopia,Oct-22,"76,374,771","46,482,542"
Ethiopia,Nov-22,"169,609,236","45,572,646"
Ethiopia,Dec-22,"156,243,997","48,505,716"
Ethiopia,Jan-23,"35,968,715","32,498,928"
Ethiopia,Feb-23,"52,017,832","32,498,085"
Ethiopia,Mar-23,"180,879,462","28,861,478"
Ethiopia,Apr-23,"140,167,879","38,417,517"
Ethiopia,May-23,"208,674,729","47,596,266"
Ethiopia,Jun-23,"187,066,079","46,320,487"
Ethiopia,Jul-23,"31,990,612","60,817,240"
Ethiopia,Aug-23,"33,012,953","47,594,619"
Ethiopia,Sep-23,"22,166,443","41,658,884"
Ethiopia,Oct-23,"59,613,884","46,455,341"
Ethiopia,Nov-23,"177,243,985","28,030,895"
Ethiopia,Dec-23,"90,828,509","39,568,237"
Falkland Islands (Islas Malvinas),Jan-15,"108,093","1,121,765"
Falkland Islands (Islas Malvinas),Feb-15,"105,061","17,165"
Falkland Islands (Islas Malvinas),Mar-15,"398,940","3,897,867"
Falkland Islands (Islas Malvinas),Apr-15,"958,875","3,820,276"
Falkland Islands (Islas Malvinas),May-15,"284,147","1,517,621"
Falkland Islands (Islas Malvinas),Jun-15,"124,399","23,665"
Falkland Islands (Islas Malvinas),Jul-15,"3,914",694
Falkland Islands (Islas Malvinas),Aug-15,"558,394","2,593,105"
Falkland Islands (Islas Malvinas),Sep-15,"216,027","24,738"
Falkland Islands (Islas Malvinas),Oct-15,"107,610","87,966"
Falkland Islands (Islas Malvinas),Nov-15,"11,538","1,147,830"
Falkland Islands (Islas Malvinas),Dec-15,"40,710","21,256"
Falkland Islands (Islas Malvinas),Jan-16,"985,486","33,505"
Falkland Islands (Islas Malvinas),Feb-16,"33,394","6,111"
Falkland Islands (Islas Malvinas),Mar-16,"3,000","3,721"
Falkland Islands (Islas Malvinas),Apr-16,"11,545","40,091"
Falkland Islands (Islas Malvinas),May-16,"3,113","6,266,240"
Falkland Islands (Islas Malvinas),Jun-16,,"2,307,247"
Falkland Islands (Islas Malvinas),Jul-16,"21,400","4,476,006"
Falkland Islands (Islas Malvinas),Aug-16,"10,533","131,299"
Falkland Islands (Islas Malvinas),Sep-16,"9,831","4,586"
Falkland Islands (Islas Malvinas),Oct-16,"10,280","897,965"
Falkland Islands (Islas Malvinas),Nov-16,"247,889","5,611,379"
Falkland Islands (Islas Malvinas),Dec-16,"148,104",442
Falkland Islands (Islas Malvinas),Jan-17,"21,666",943
Falkland Islands (Islas Malvinas),Feb-17,"162,248",49
Falkland Islands (Islas Malvinas),Mar-17,,"3,609"
Falkland Islands (Islas Malvinas),Apr-17,"27,600","4,144,661"
Falkland Islands (Islas Malvinas),May-17,,"3,638,482"
Falkland Islands (Islas Malvinas),Jun-17,"6,258","1,423"
Falkland Islands (Islas Malvinas),Jul-17,"68,707","88,299"
Falkland Islands (Islas Malvinas),Aug-17,"15,325","11,255"
Falkland Islands (Islas Malvinas),Sep-17,"63,534","2,443,116"
Falkland Islands (Islas Malvinas),Oct-17,"33,277","5,560"
Falkland Islands (Islas Malvinas),Nov-17,"3,555","98,098"
Falkland Islands (Islas Malvinas),Dec-17,"79,919","1,293,319"
Falkland Islands (Islas Malvinas),Jan-18,"6,291","619,637"
Falkland Islands (Islas Malvinas),Feb-18,"11,566","3,659"
Falkland Islands (Islas Malvinas),Mar-18,"4,859","144,993"
Falkland Islands (Islas Malvinas),Apr-18,"21,893","4,396,459"
Falkland Islands (Islas Malvinas),May-18,"36,475","1,097,601"
Falkland Islands (Islas Malvinas),Jun-18,"27,784","4,121,893"
Falkland Islands (Islas Malvinas),Jul-18,"3,603","2,622,907"
Falkland Islands (Islas Malvinas),Aug-18,"15,636",285
Falkland Islands (Islas Malvinas),Sep-18,"5,926","4,286"
Falkland Islands (Islas Malvinas),Oct-18,"30,004","6,315"
Falkland Islands (Islas Malvinas),Nov-18,"20,338","33,451"
Falkland Islands (Islas Malvinas),Dec-18,"30,584",93
Falkland Islands (Islas Malvinas),Jan-19,"38,698","2,599,610"
Falkland Islands (Islas Malvinas),Feb-19,"9,502","195,935"
Falkland Islands (Islas Malvinas),Mar-19,"22,232","3,496,115"
Falkland Islands (Islas Malvinas),Apr-19,,"5,456,984"
Falkland Islands (Islas Malvinas),May-19,,"1,333,496"
Falkland Islands (Islas Malvinas),Jun-19,"6,000","1,181,625"
Falkland Islands (Islas Malvinas),Jul-19,,"4,225,909"
Falkland Islands (Islas Malvinas),Aug-19,"2,901","224,105"
Falkland Islands (Islas Malvinas),Sep-19,"10,783",212
Falkland Islands (Islas Malvinas),Oct-19,"139,283","96,342"
Falkland Islands (Islas Malvinas),Nov-19,"43,484",333
Falkland Islands (Islas Malvinas),Dec-19,"44,900","24,439"
Falkland Islands (Islas Malvinas),Jan-20,"6,272","2,321,146"
Falkland Islands (Islas Malvinas),Feb-20,"3,271","458,722"
Falkland Islands (Islas Malvinas),Mar-20,,"3,364,252"
Falkland Islands (Islas Malvinas),Apr-20,"12,602","2,299,012"
Falkland Islands (Islas Malvinas),May-20,"8,345","153,946"
Falkland Islands (Islas Malvinas),Jun-20,"10,568","1,566"
Falkland Islands (Islas Malvinas),Jul-20,,"22,340"
Falkland Islands (Islas Malvinas),Aug-20,"29,301","4,384"
Falkland Islands (Islas Malvinas),Sep-20,"116,340","121,131"
Falkland Islands (Islas Malvinas),Oct-20,"110,720","58,076"
Falkland Islands (Islas Malvinas),Nov-20,,"2,151,475"
Falkland Islands (Islas Malvinas),Dec-20,"8,192","448,137"
Falkland Islands (Islas Malvinas),Jan-21,,248
Falkland Islands (Islas Malvinas),Feb-21,"15,838",713
Falkland Islands (Islas Malvinas),Mar-21,,"3,213,066"
Falkland Islands (Islas Malvinas),Apr-21,,"1,150,317"
Falkland Islands (Islas Malvinas),May-21,"3,603","794,989"
Falkland Islands (Islas Malvinas),Jun-21,"24,733","2,976,309"
Falkland Islands (Islas Malvinas),Jul-21,"5,320","781,085"
Falkland Islands (Islas Malvinas),Aug-21,"19,129","1,652,839"
Falkland Islands (Islas Malvinas),Sep-21,"113,996","1,994"
Falkland Islands (Islas Malvinas),Oct-21,"20,738","25,825"
Falkland Islands (Islas Malvinas),Nov-21,"68,028","23,583"
Falkland Islands (Islas Malvinas),Dec-21,"64,385","1,602,103"
Falkland Islands (Islas Malvinas),Jan-22,,"1,852,854"
Falkland Islands (Islas Malvinas),Feb-22,,"17,834"
Falkland Islands (Islas Malvinas),Mar-22,"62,022","241,073"
Falkland Islands (Islas Malvinas),Apr-22,,"7,926,395"
Falkland Islands (Islas Malvinas),May-22,,"52,415"
Falkland Islands (Islas Malvinas),Jun-22,,"8,193,618"
Falkland Islands (Islas Malvinas),Jul-22,,"266,748"
Falkland Islands (Islas Malvinas),Aug-22,,"27,778"
Falkland Islands (Islas Malvinas),Sep-22,,384
Falkland Islands (Islas Malvinas),Oct-22,,"4,839,261"
Falkland Islands (Islas Malvinas),Nov-22,"70,390","2,048,317"
Falkland Islands (Islas Malvinas),Dec-22,"31,681","5,891,075"
Falkland Islands (Islas Malvinas),Jan-23,"10,184","1,004,238"
Falkland Islands (Islas Malvinas),Feb-23,"7,865","47,660"
Falkland Islands (Islas Malvinas),Mar-23,"14,126","6,858,678"
Falkland Islands (Islas Malvinas),Apr-23,,"4,868,597"
Falkland Islands (Islas Malvinas),May-23,"19,236","759,591"
Falkland Islands (Islas Malvinas),Jun-23,"200,021","8,331,694"
Falkland Islands (Islas Malvinas),Jul-23,,"302,995"
Falkland Islands (Islas Malvinas),Aug-23,,"2,960,093"
Falkland Islands (Islas Malvinas),Sep-23,"31,954","1,389,309"
Falkland Islands (Islas Malvinas),Oct-23,"125,576","357,888"
Falkland Islands (Islas Malvinas),Nov-23,"50,154","29,279"
Falkland Islands (Islas Malvinas),Dec-23,"6,979","14,645"
Faroe Islands,Jan-15,"103,927","4,887,646"
Faroe Islands,Feb-15,"138,272","4,900,825"
Faroe Islands,Mar-15,"733,046","7,899,822"
Faroe Islands,Apr-15,"135,850","8,715,553"
Faroe Islands,May-15,"158,075","7,565,642"
Faroe Islands,Jun-15,"70,168","7,752,273"
Faroe Islands,Jul-15,"237,522","9,088,844"
Faroe Islands,Aug-15,"36,875","7,996,417"
Faroe Islands,Sep-15,"159,211","9,393,139"
Faroe Islands,Oct-15,"251,853","10,014,635"
Faroe Islands,Nov-15,"69,464","10,405,652"
Faroe Islands,Dec-15,"242,600","9,349,264"
Faroe Islands,Jan-16,"125,033","9,640,939"
Faroe Islands,Feb-16,"94,846","10,280,258"
Faroe Islands,Mar-16,"133,922","9,082,896"
Faroe Islands,Apr-16,"221,556","9,898,737"
Faroe Islands,May-16,"155,504","12,452,632"
Faroe Islands,Jun-16,"606,145","13,844,414"
Faroe Islands,Jul-16,"179,779","12,493,901"
Faroe Islands,Aug-16,"4,629","8,606,114"
Faroe Islands,Sep-16,"23,135","11,845,170"
Faroe Islands,Oct-16,"130,078","14,960,126"
Faroe Islands,Nov-16,"154,540","11,050,348"
Faroe Islands,Dec-16,"752,967","10,512,145"
Faroe Islands,Jan-17,"100,497","11,014,488"
Faroe Islands,Feb-17,"270,461","8,241,997"
Faroe Islands,Mar-17,"158,733","9,760,039"
Faroe Islands,Apr-17,"325,567","8,669,490"
Faroe Islands,May-17,"434,185","14,480,382"
Faroe Islands,Jun-17,"154,718","12,518,081"
Faroe Islands,Jul-17,"37,731","10,938,498"
Faroe Islands,Aug-17,"74,473","7,772,362"
Faroe Islands,Sep-17,"19,782","8,830,273"
Faroe Islands,Oct-17,"52,979","10,002,070"
Faroe Islands,Nov-17,"175,087","8,360,841"
Faroe Islands,Dec-17,"230,324","8,035,914"
Faroe Islands,Jan-18,"367,310","7,291,560"
Faroe Islands,Feb-18,"115,343","9,305,596"
Faroe Islands,Mar-18,"162,869","9,830,412"
Faroe Islands,Apr-18,"145,683","9,105,911"
Faroe Islands,May-18,"29,067","8,351,993"
Faroe Islands,Jun-18,"302,163","9,347,088"
Faroe Islands,Jul-18,"33,543","8,391,244"
Faroe Islands,Aug-18,"108,327","7,066,795"
Faroe Islands,Sep-18,"357,132","7,563,738"
Faroe Islands,Oct-18,"254,661","12,517,435"
Faroe Islands,Nov-18,"370,409","10,741,818"
Faroe Islands,Dec-18,"162,979","11,189,888"
Faroe Islands,Jan-19,"153,382","12,513,522"
Faroe Islands,Feb-19,"42,454","9,973,845"
Faroe Islands,Mar-19,"206,902","11,414,199"
Faroe Islands,Apr-19,"340,835","12,896,940"
Faroe Islands,May-19,"50,664","13,615,334"
Faroe Islands,Jun-19,"111,261","11,322,532"
Faroe Islands,Jul-19,"887,266","11,242,173"
Faroe Islands,Aug-19,"207,014","8,412,058"
Faroe Islands,Sep-19,"370,944","12,534,327"
Faroe Islands,Oct-19,"108,721","11,704,649"
Faroe Islands,Nov-19,"241,811","10,613,957"
Faroe Islands,Dec-19,"448,873","15,567,327"
Faroe Islands,Jan-20,"51,539","16,826,628"
Faroe Islands,Feb-20,"728,002","10,779,268"
Faroe Islands,Mar-20,"216,487","9,077,223"
Faroe Islands,Apr-20,"32,309","7,336,351"
Faroe Islands,May-20,"50,426","11,421,531"
Faroe Islands,Jun-20,"159,951","11,426,224"
Faroe Islands,Jul-20,"693,312","8,555,416"
Faroe Islands,Aug-20,"159,621","8,324,140"
Faroe Islands,Sep-20,"342,076","9,241,647"
Faroe Islands,Oct-20,"236,135","11,481,364"
Faroe Islands,Nov-20,"86,395","8,751,292"
Faroe Islands,Dec-20,"36,370","9,599,227"
Faroe Islands,Jan-21,"563,660","10,610,939"
Faroe Islands,Feb-21,"96,764","10,051,075"
Faroe Islands,Mar-21,"289,520","14,987,665"
Faroe Islands,Apr-21,"65,264","15,617,481"
Faroe Islands,May-21,"100,831","13,826,429"
Faroe Islands,Jun-21,"25,074","15,717,430"
Faroe Islands,Jul-21,"111,177","14,098,067"
Faroe Islands,Aug-21,"103,191","11,410,018"
Faroe Islands,Sep-21,"63,398","16,855,317"
Faroe Islands,Oct-21,"1,195,467","16,822,366"
Faroe Islands,Nov-21,"250,357","22,396,041"
Faroe Islands,Dec-21,"168,347","21,893,299"
Faroe Islands,Jan-22,"170,525","18,715,613"
Faroe Islands,Feb-22,"179,864","17,859,170"
Faroe Islands,Mar-22,"186,824","21,151,643"
Faroe Islands,Apr-22,"96,298","16,992,167"
Faroe Islands,May-22,"52,559","25,073,944"
Faroe Islands,Jun-22,"253,781","25,705,428"
Faroe Islands,Jul-22,"105,662","21,212,415"
Faroe Islands,Aug-22,"35,360","22,284,291"
Faroe Islands,Sep-22,"342,524","22,389,864"
Faroe Islands,Oct-22,"38,111","20,431,889"
Faroe Islands,Nov-22,"7,883","23,370,930"
Faroe Islands,Dec-22,"83,492","17,648,323"
Faroe Islands,Jan-23,"44,277","20,053,671"
Faroe Islands,Feb-23,"9,531","18,170,006"
Faroe Islands,Mar-23,"685,853","23,815,375"
Faroe Islands,Apr-23,"348,968","22,586,781"
Faroe Islands,May-23,"67,846","24,136,151"
Faroe Islands,Jun-23,"106,011","17,969,599"
Faroe Islands,Jul-23,"83,157","24,726,541"
Faroe Islands,Aug-23,"186,922","28,043,476"
Faroe Islands,Sep-23,"710,860","24,079,136"
Faroe Islands,Oct-23,"575,749","22,047,551"
Faroe Islands,Nov-23,"387,708","25,583,103"
Faroe Islands,Dec-23,"5,818","22,825,355"
Fiji,Jan-15,"4,584,773","15,906,112"
Fiji,Feb-15,"3,325,989","7,450,831"
Fiji,Mar-15,"5,614,107","17,809,465"
Fiji,Apr-15,"5,240,477","16,215,749"
Fiji,May-15,"6,122,480","14,370,874"
Fiji,Jun-15,"4,284,573","15,353,713"
Fiji,Jul-15,"4,138,315","14,328,192"
Fiji,Aug-15,"5,335,079","16,884,771"
Fiji,Sep-15,"5,429,807","30,381,459"
Fiji,Oct-15,"5,631,501","16,982,555"
Fiji,Nov-15,"3,868,307","19,407,454"
Fiji,Dec-15,"3,329,177","17,547,862"
Fiji,Jan-16,"4,476,587","18,926,978"
Fiji,Feb-16,"6,801,310","12,592,969"
Fiji,Mar-16,"4,695,493","17,867,284"
Fiji,Apr-16,"4,304,482","8,727,560"
Fiji,May-16,"5,155,372","14,739,001"
Fiji,Jun-16,"3,707,797","15,623,111"
Fiji,Jul-16,"3,065,281","23,572,860"
Fiji,Aug-16,"4,391,829","19,682,009"
Fiji,Sep-16,"4,472,028","15,892,137"
Fiji,Oct-16,"5,691,266","17,620,445"
Fiji,Nov-16,"3,726,895","17,284,776"
Fiji,Dec-16,"4,560,777","20,926,106"
Fiji,Jan-17,"3,529,379","14,608,113"
Fiji,Feb-17,"2,938,507","15,408,261"
Fiji,Mar-17,"5,093,720","22,666,323"
Fiji,Apr-17,"3,463,517","19,039,267"
Fiji,May-17,"2,922,234","18,384,888"
Fiji,Jun-17,"4,057,988","19,769,744"
Fiji,Jul-17,"6,464,986","19,634,295"
Fiji,Aug-17,"17,428,712","20,399,847"
Fiji,Sep-17,"3,352,813","19,056,638"
Fiji,Oct-17,"4,719,864","21,374,559"
Fiji,Nov-17,"8,014,384","14,252,370"
Fiji,Dec-17,"4,565,794","17,618,608"
Fiji,Jan-18,"3,572,057","16,588,478"
Fiji,Feb-18,"6,758,533","11,970,125"
Fiji,Mar-18,"4,572,402","22,240,035"
Fiji,Apr-18,"3,231,271","15,935,507"
Fiji,May-18,"4,514,323","14,394,921"
Fiji,Jun-18,"2,521,260","18,957,269"
Fiji,Jul-18,"3,458,792","16,554,190"
Fiji,Aug-18,"4,255,175","18,490,729"
Fiji,Sep-18,"12,340,065","19,593,179"
Fiji,Oct-18,"4,741,493","21,499,331"
Fiji,Nov-18,"4,431,388","25,492,508"
Fiji,Dec-18,"50,611,615","17,843,470"
Fiji,Jan-19,"48,142,952","26,884,169"
Fiji,Feb-19,"4,202,442","9,068,122"
Fiji,Mar-19,"3,138,188","21,156,586"
Fiji,Apr-19,"5,755,376","19,895,307"
Fiji,May-19,"3,021,404","12,420,718"
Fiji,Jun-19,"4,495,779","14,231,362"
Fiji,Jul-19,"6,861,963","19,852,819"
Fiji,Aug-19,"3,337,860","23,349,864"
Fiji,Sep-19,"5,744,378","19,622,244"
Fiji,Oct-19,"7,429,503","24,230,348"
Fiji,Nov-19,"3,793,478","37,357,115"
Fiji,Dec-19,"6,986,477","18,691,878"
Fiji,Jan-20,"4,047,103","17,391,549"
Fiji,Feb-20,"3,059,565","8,846,466"
